Timecode List:,00:00:07.925,00:00:14.932,00:00:16.308,00:00:17.601,00:00:18.602,00:00:22.314,00:00:24.149,00:00:26.610,00:00:27.903,00:00:29.696,00:00:30.572,00:00:31.198,00:00:32.199,00:00:33.367,00:00:35.160,00:00:36.161,00:00:37.746,00:00:39.706,00:00:40.707,00:00:42.584,00:00:43.710,00:00:45.587,00:00:46.672,00:00:49.299,00:00:52.094,00:00:53.679,00:00:54.471,00:00:56.431,00:00:57.766,00:00:59.017,00:01:00.060,00:01:01.770,00:01:04.773,00:01:06.024,00:01:09.278,00:01:10.779,00:01:11.363,00:01:13.198,00:01:16.118,00:01:17.244,00:01:18.495,00:01:19.830,00:01:21.915,00:01:24.042,00:01:24.793,00:01:26.503,00:01:27.462,00:01:28.672,00:01:29.589,00:01:30.507,00:01:31.425,00:01:32.259,00:01:33.093,00:01:35.929,00:01:36.972,00:01:37.931,00:01:38.724,00:01:39.558,00:01:42.185,00:01:42.978,00:01:44.521,00:01:45.105,00:01:46.148,00:01:48.400,00:01:49.735,00:01:55.574,00:01:57.617,00:02:06.877,00:02:08.712
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,190,00:00:07.925,7.925,190,00:00:07.925,7.925
2,191,00:00:07.925,7.925,358,00:00:14.932,14.932,168,00:00:07.007,7.007
3,359,00:00:14.932,14.932,391,00:00:16.308,16.308,33,00:00:01.376,1.376
4,392,00:00:16.308,16.308,422,00:00:17.601,17.601,31,00:00:01.293,1.293
5,423,00:00:17.601,17.601,446,00:00:18.602,18.602,24,00:00:01.001,1.001
6,447,00:00:18.602,18.602,535,00:00:22.314,22.314,89,00:00:03.712,3.712
7,536,00:00:22.314,22.314,579,00:00:24.149,24.149,44,00:00:01.835,1.835
8,580,00:00:24.149,24.149,638,00:00:26.610,26.610,59,00:00:02.461,2.461
9,639,00:00:26.610,26.610,669,00:00:27.903,27.903,31,00:00:01.293,1.293
10,670,00:00:27.903,27.903,712,00:00:29.696,29.696,43,00:00:01.793,1.793
11,713,00:00:29.696,29.696,733,00:00:30.572,30.572,21,00:00:00.876,0.876
12,734,00:00:30.572,30.572,748,00:00:31.198,31.198,15,00:00:00.626,0.626
13,749,00:00:31.198,31.198,772,00:00:32.199,32.199,24,00:00:01.001,1.001
14,773,00:00:32.199,32.199,800,00:00:33.367,33.367,28,00:00:01.168,1.168
15,801,00:00:33.367,33.367,843,00:00:35.160,35.160,43,00:00:01.793,1.793
16,844,00:00:35.160,35.160,867,00:00:36.161,36.161,24,00:00:01.001,1.001
17,868,00:00:36.161,36.161,905,00:00:37.746,37.746,38,00:00:01.585,1.585
18,906,00:00:37.746,37.746,952,00:00:39.706,39.706,47,00:00:01.960,1.960
19,953,00:00:39.706,39.706,976,00:00:40.707,40.707,24,00:00:01.001,1.001
20,977,00:00:40.707,40.707,1021,00:00:42.584,42.584,45,00:00:01.877,1.877
21,1022,00:00:42.584,42.584,1048,00:00:43.710,43.710,27,00:00:01.126,1.126
22,1049,00:00:43.710,43.710,1093,00:00:45.587,45.587,45,00:00:01.877,1.877
23,1094,00:00:45.587,45.587,1119,00:00:46.672,46.672,26,00:00:01.084,1.084
24,1120,00:00:46.672,46.672,1182,00:00:49.299,49.299,63,00:00:02.628,2.628
25,1183,00:00:49.299,49.299,1249,00:00:52.094,52.094,67,00:00:02.794,2.794
26,1250,00:00:52.094,52.094,1287,00:00:53.679,53.679,38,00:00:01.585,1.585
27,1288,00:00:53.679,53.679,1306,00:00:54.471,54.471,19,00:00:00.792,0.792
28,1307,00:00:54.471,54.471,1353,00:00:56.431,56.431,47,00:00:01.960,1.960
29,1354,00:00:56.431,56.431,1385,00:00:57.766,57.766,32,00:00:01.335,1.335
30,1386,00:00:57.766,57.766,1415,00:00:59.017,59.017,30,00:00:01.251,1.251
31,1416,00:00:59.017,59.017,1440,00:01:00.060,60.060,25,00:00:01.043,1.043
32,1441,00:01:00.060,60.060,1481,00:01:01.770,61.770,41,00:00:01.710,1.710
33,1482,00:01:01.770,61.770,1553,00:01:04.773,64.773,72,00:00:03.003,3.003
34,1554,00:01:04.773,64.773,1583,00:01:06.024,66.024,30,00:00:01.251,1.251
35,1584,00:01:06.024,66.024,1661,00:01:09.278,69.278,78,00:00:03.253,3.253
36,1662,00:01:09.278,69.278,1697,00:01:10.779,70.779,36,00:00:01.501,1.501
37,1698,00:01:10.779,70.779,1711,00:01:11.363,71.363,14,00:00:00.584,0.584
38,1712,00:01:11.363,71.363,1755,00:01:13.198,73.198,44,00:00:01.835,1.835
39,1756,00:01:13.198,73.198,1825,00:01:16.118,76.118,70,00:00:02.920,2.920
40,1826,00:01:16.118,76.118,1852,00:01:17.244,77.244,27,00:00:01.126,1.126
41,1853,00:01:17.244,77.244,1882,00:01:18.495,78.495,30,00:00:01.251,1.251
42,1883,00:01:18.495,78.495,1914,00:01:19.830,79.830,32,00:00:01.335,1.335
43,1915,00:01:19.830,79.830,1964,00:01:21.915,81.915,50,00:00:02.085,2.085
44,1965,00:01:21.915,81.915,2015,00:01:24.042,84.042,51,00:00:02.127,2.127
45,2016,00:01:24.042,84.042,2033,00:01:24.793,84.793,18,00:00:00.751,0.751
46,2034,00:01:24.793,84.793,2074,00:01:26.503,86.503,41,00:00:01.710,1.710
47,2075,00:01:26.503,86.503,2097,00:01:27.462,87.462,23,00:00:00.959,0.959
48,2098,00:01:27.462,87.462,2126,00:01:28.672,88.672,29,00:00:01.210,1.210
49,2127,00:01:28.672,88.672,2148,00:01:29.589,89.589,22,00:00:00.918,0.918
50,2149,00:01:29.589,89.589,2170,00:01:30.507,90.507,22,00:00:00.918,0.918
51,2171,00:01:30.507,90.507,2192,00:01:31.425,91.425,22,00:00:00.918,0.918
52,2193,00:01:31.425,91.425,2212,00:01:32.259,92.259,20,00:00:00.834,0.834
53,2213,00:01:32.259,92.259,2232,00:01:33.093,93.093,20,00:00:00.834,0.834
54,2233,00:01:33.093,93.093,2300,00:01:35.929,95.929,68,00:00:02.836,2.836
55,2301,00:01:35.929,95.929,2325,00:01:36.972,96.972,25,00:00:01.043,1.043
56,2326,00:01:36.972,96.972,2348,00:01:37.931,97.931,23,00:00:00.959,0.959
57,2349,00:01:37.931,97.931,2367,00:01:38.724,98.724,19,00:00:00.792,0.792
58,2368,00:01:38.724,98.724,2387,00:01:39.558,99.558,20,00:00:00.834,0.834
59,2388,00:01:39.558,99.558,2450,00:01:42.185,102.185,63,00:00:02.628,2.628
60,2451,00:01:42.185,102.185,2469,00:01:42.978,102.978,19,00:00:00.792,0.792
61,2470,00:01:42.978,102.978,2506,00:01:44.521,104.521,37,00:00:01.543,1.543
62,2507,00:01:44.521,104.521,2520,00:01:45.105,105.105,14,00:00:00.584,0.584
63,2521,00:01:45.105,105.105,2545,00:01:46.148,106.148,25,00:00:01.043,1.043
64,2546,00:01:46.148,106.148,2599,00:01:48.400,108.400,54,00:00:02.252,2.252
65,2600,00:01:48.400,108.400,2631,00:01:49.735,109.735,32,00:00:01.335,1.335
66,2632,00:01:49.735,109.735,2771,00:01:55.574,115.574,140,00:00:05.839,5.839
67,2772,00:01:55.574,115.574,2820,00:01:57.617,117.617,49,00:00:02.044,2.044
68,2821,00:01:57.617,117.617,3042,00:02:06.877,126.877,222,00:00:09.259,9.259
69,3043,00:02:06.877,126.877,3086,00:02:08.712,128.712,44,00:00:01.835,1.835
70,3087,00:02:08.712,128.712,3110,00:02:09.713,129.713,24,00:00:01.001,1.001
